Grade,Subject,Topic,Description,Resource 1,Resource 2,Resource 3
Grade 1,Math,Identity property of addition (adding zero: 7 + 0 = 7),,,,
Grade 1,Math,"Adding three single-digit numbers (e.g., 2 + 3 + 4)",,,,
Grade 1,Math,"Adding a two-digit number and a one-digit number without regrouping (e.g., 24 + 3)",,,,
Grade 1,Math,"Adding multiples of 10 up to 90 (e.g., 30 + 40)",,,,
Grade 1,Math,"Adding two-digit numbers without regrouping (e.g., 23 + 14)",,,,
Grade 1,Math,"Concept of subtraction as taking away, separating, and finding differences",,,,
Grade 1,Math,"Subtraction symbols and terms (minus sign -, equals sign =, minuend, subtrahend, difference)",,,,
Grade 1,Math,Subtracting single-digit numbers within 10,,,,
Grade 1,Math,Subtracting single-digit numbers from numbers up to 20,,,,
Grade 1,Math,"Subtraction strategies (counting back, counting up, cross-out drawings, number lines)",,,,
Grade 1,Math,Subtracting zero from a number (identity property of subtraction),,,,
Grade 1,Math,"Subtracting a number from itself (e.g., 8 - 8 = 0)",,,,
Grade 1,Math,Relationship between addition and subtraction (inverse operations / fact families),,,,
Grade 1,Math,"Subtracting a one-digit number from a two-digit number without regrouping (e.g., 28 - 5)",,,,
Grade 1,Math,"Subtracting multiples of 10 up to 90 (e.g., 70 - 30)",,,,
Grade 1,Math,"Subtracting two-digit numbers without regrouping (e.g., 47 - 25)",,,,
Grade 1,Math,Solving one-step addition word problems involving real-life situations,,,,
Grade 1,Math,Solving one-step subtraction word problems involving real-life situations,,,,
Grade 1,Math,"Identifying missing addends in basic equations (e.g., 4 + ___ = 9)",,,,
Grade 1,Math,"Identifying 2D shapes (circle, square, triangle, rectangle, oval, diamond/rhombus)",,,,
Grade 1,Math,"Attributes of 2D shapes (number of sides, corners/vertices, straight vs. curved lines)",,,,
Grade 1,Math,"Sorting and classifying 2D shapes by size, color, and geometric properties",,,,
Grade 1,Math,Composing and decomposing 2D shapes using tangrams or pattern blocks,,,,
Grade 1,Math,"Identifying basic 3D shapes (sphere, cube, cylinder, cone, rectangular prism)",,,,
Grade 1,Math,"Attributes of 3D shapes (flat faces, curved surfaces, edges, corners)",,,,
Grade 1,Math,Distinguishing between 2D (flat) and 3D (solid) shapes,,,,
Grade 1,Math,"Spatial sense and positional words (above, below, beside, in front of, behind, between, inside, outside, left, right)",,,,
Grade 1,Math,"Symmetry basics (folding shapes in half, lines of symmetry in simple objects)",,,,
Grade 1,Math,"Repeating patterns using colors, shapes, sounds, and objects (AB, AAB, ABB, ABC)",,,,
Grade 1,Math,Identifying the core rule of a repeating pattern,,,,
Grade 1,Math,Extending and completing repeating patterns,,,,
Grade 1,Math,Creating original repeating patterns,,,,
Grade 1,Math,Growing/increasing patterns with numbers and shapes,,,,
Grade 1,Math,"Non-standard units of length measurement (paperclips, handspans, blocks, popsicle sticks)",,,,
Grade 1,Math,"Comparing lengths directly (longer, shorter, taller, same length)",,,,
Grade 1,Math,Ordering three or more objects by length or height,,,,
Grade 1,Math,Measuring length using a standard ruler (introductory centimeters or inches),,,,
Grade 1,Math,"Non-standard units of mass/weight measurement (balance scales using marbles, blocks)",,,,
Grade 1,Math,"Comparing weights directly (heavier, lighter, same weight)",,,,
Grade 1,Math,"Comparing liquid capacities (holds more, holds less, empty, half-full, full)",,,,
Grade 1,Math,"Telling time to the hour on an analog clock (e.g., 3:00)",,,,
Grade 1,Math,"Telling time to the half-hour on an analog clock (e.g., 3:30)",,,,
Grade 1,Math,Reading digital clock formats to the hour and half-hour,,,,
Grade 1,Math,Distinguishing between day and night routines (a.m. and p.m. conceptual awareness),,,,
Grade 1,Math,Days of the week in chronological sequence,,,,
Grade 1,Math,Months of the year in chronological sequence,,,,
Grade 1,Math,"Reading a simple monthly calendar (days, dates, weeks)",,,,
Grade 1,Math,Comparing elapsed time (longer time vs. shorter time duration),,,,
Grade 1,Math,"Identifying local coins and paper bills by appearance, color, and value",,,,
Grade 1,Math,Comparing the value of different coins and bills,,,,
Grade 1,Math,Counting collections of small-denomination coins,,,,
Grade 1,Math,"Solving simple money-related word problems (buying items, total cost)",,,,
Grade 1,Math,Equal sharing and equal grouping concepts (foundation for multiplication and division),,,,
Grade 1,Math,Fractions: concept of equal parts vs. unequal parts,,,,
Grade 1,Math,Fractions: identifying and showing one-half (1/2) of a whole shape and a set,,,,
Grade 1,Math,Fractions: identifying and showing one-fourth / one-quarter (1/4) of a whole shape and a set,,,,
Grade 1,Math,Collecting and sorting real-world objects into categories,,,,
Grade 1,Math,Recording data using tally marks,,,,
Grade 1,Math,Reading and interpreting simple pictographs with a 1:1 scale,,,,
Grade 1,Math,Constructing simple pictographs using concrete objects and pictures,,,,
Grade 1,Math,Reading and interpreting simple vertical and horizontal bar graphs (1:1 scale),,,,
Grade 1,Math,"Answering basic questions from charts and tables (most, least, how many in all)",,,,
Grade 1,English,"Recognizing and naming uppercase and lowercase letters of the alphabet (A-Z, a-z)",,,,
Grade 1,English,Alphabetical order (arranging letters and simple words from A to Z),,,,
Grade 1,English,Letter-sound correspondence for all 26 letters (phonics),,,,
Grade 1,English,"Distinguishing between vowels (A, E, I, O, U) and consonants",,,,
Grade 1,English,Phonemic awareness: identifying beginning sounds in spoken words,,,,
Grade 1,English,Phonemic awareness: identifying ending sounds in spoken words,,,,
Grade 1,English,Phonemic awareness: identifying middle/medial short vowel sounds in spoken words,,,,
Grade 1,English,"Blending individual sounds to read CVC words (Consonant-Vowel-Consonant: e.g., cat, bed, pig, hot, sun)",,,,
Grade 1,English,Segmenting spoken CVC words into individual phonemes,,,,
Grade 1,English,"Reading word families / rhyming rimes (e.g., -at, -an, -en, -in, -og, -ug)",,,,
Grade 1,English,Recognizing and generating simple rhyming words,,,,
Grade 1,English,"Identifying common consonant digraphs (sh, ch, th, wh, ck)",,,,
Grade 1,English,"Identifying initial and final consonant blends (bl, cl, fl, gl, pl, sl, br, cr, dr, fr, gr, pr, tr, sm, sn, sp, st, sw, -nd, -nt, -st, -mp)",,,,
Grade 1,English,"Introduction to long vowel sounds with silent/magic e (CVCe: e.g., cape, bite, rope, tube)",,,,
Grade 1,English,"High-frequency sight words recognition (Dolch / Fry first grade lists: e.g., the, and, you, said, where, come)",,,,
Grade 1,English,Distinguishing between real words and nonsense words,,,,
Grade 1,English,"Environmental print recognition (signs, labels, logos, common symbols)",,,,
Grade 1,English,"Concepts of print: tracking left-to-right, top-to-bottom, and page-by-page orientation",,,,
Grade 1,English,"Parts of a book: front cover, back cover, title, author, illustrator, table of contents",,,,
Grade 1,English,"Distinguishing between letters, words, and full sentences",,,,
Grade 1,English,Appropriate spacing between words in handwritten sentences,,,,
Grade 1,English,"Common nouns: naming people, places, things, and animals",,,,
Grade 1,English,"Proper nouns: recognizing specific names of people, places, days, and months requiring capitalization",,,,
Grade 1,English,Singular and plural nouns using regular endings (-s and -es),,,,
Grade 1,English,"Irregular plural nouns basics (e.g., child/children, foot/feet, tooth/teeth, mouse/mice)",,,,
Grade 1,English,"Countable vs. non-countable nouns basics (e.g., apples vs. water)",,,,
Grade 1,English,"Gender-specific nouns basics (boy/girl, king/queen, rooster/hen)",,,,
Grade 1,English,"Personal subject pronouns (I, you, he, she, it, we, they)",,,,
Grade 1,English,"Possessive pronouns and adjectives basics (my/mine, your/yours, his, her/hers, their/theirs)",,,,
Grade 1,English,"Demonstrative pronouns (this, that, these, those)",,,,
Grade 1,English,"Action verbs / dynamic words (run, jump, eat, sleep, write, read)",,,,
Grade 1,English,"Simple present tense of verbs (subject-verb agreement: singular subject adds -s/-es, plural does not)",,,,
Grade 1,English,"Introduction to past tense with -ed ending (walked, jumped, played)",,,,
Grade 1,English,"Introduction to present continuous tense with -ing ending (walking, jumping, playing)",,,,
Grade 1,English,"Common linking verbs (is, am, are, was, were)",,,,
Grade 1,English,"Descriptive words / adjectives: color, shape, size, texture, number, feelings",,,,
Grade 1,English,Using sensory adjectives to describe real objects,,,,
Grade 1,English,"Comparative adjectives basics (-er ending: bigger, smaller, faster)",,,,
Grade 1,English,"Opposites / Antonyms (hot/cold, big/small, up/down, fast/slow)",,,,
Grade 1,English,"Synonyms basics (happy/glad, big/large, shut/close)",,,,
Grade 1,English,"Spatial prepositions / position words (in, on, under, over, behind, in front of, beside, next to, between)",,,,
Grade 1,English,"Conjunctions basics: joining words and simple phrases using 'and', 'but', and 'or'",,,,
Grade 1,English,Distinguishing a phrase from a complete sentence,,,,
Grade 1,English,Types of simple sentences: telling sentences / statements (declarative),,,,
Grade 1,English,Types of simple sentences: asking sentences / questions (interrogative),,,,
Grade 1,English,Types of simple sentences: strong feeling / exciting sentences (exclamatory),,,,
Grade 1,English,Types of simple sentences: command / request sentences (imperative),,,,
Grade 1,English,"Capitalization rules: first letter of a sentence, pronoun 'I', proper nouns",,,,
Grade 1,English,"Punctuation marks: period / full stop (.), question mark (?), exclamation point (!)",,,,
Grade 1,English,"Listening comprehension: following 1-step, 2-step, and 3-step oral directions",,,,
Grade 1,English,"Listening comprehension: identifying characters, setting, and main events in a story read aloud",,,,
Grade 1,English,"Story structure elements: beginning, middle, and ending",,,,
Grade 1,English,"Sequencing events in a story using time-order transition words (first, next, then, last / finally)",,,,
Grade 1,English,Identifying the main idea / topic of a simple text or picture,,,,
Grade 1,English,"Making simple predictions based on book titles, cover illustrations, and context clues",,,,
Grade 1,English,Distinguishing between realism and fantasy / fiction vs. non-fiction (make-believe vs. real),,,,
Grade 1,English,Making basic inferences from illustrations and short texts,,,,
Grade 1,English,Cause and effect basics in simple stories (Why did something happen? What happened?),,,,
Grade 1,English,"Comparing and contrasting two characters, settings, or events using simple visual aids",,,,
Grade 1,English,"Vocabulary building through context clues, picture clues, and root words",,,,
Grade 1,English,"Compound words basics (e.g., sun + flower = sunflower, rain + bow = rainbow)",,,,
Grade 1,English,"Basic contractions (e.g., can't, don't, I'm, it's)",,,,
Grade 1,English,"Oral language: polite expressions and greetings (Good morning, Thank you, Please, Excuse me, You're welcome)",,,,
Grade 1,English,"Oral language: self-introduction (name, age, family, hobbies, address)",,,,
Grade 1,English,"Oral language: asking simple questions using 5 Ws and 1 H (Who, What, Where, When, Why, How)",,,,
Grade 1,English,"Oral language: sharing personal experiences, show-and-tell, and expressing opinions",,,,
Grade 1,English,"Reciting simple nursery rhymes, poems, chants, and short tongue twisters with expression",,,,
Grade 1,English,Sentence building: unscrambling words to form meaningful sentences,,,,
Grade 1,English,Guided writing: writing complete simple sentences with correct capitalization and ending punctuation,,,,
Grade 1,English,Guided writing: writing a 2-3 sentence descriptive or narrative paragraph with a prompt,,,,
Grade 1,English,Writing personal responses to stories read or heard (drawing and captioning),,,,
Grade 1,Filipino,Pagkilala sa Alpabetong Filipino (28 titik: Aa hanggang Zz),,,,
Grade 1,Filipino,"Pagkilala sa mga patinig (A, E, I, O, U)",,,,
Grade 1,Filipino,"Pagkilala sa mga katinig (B, K, D, G, H, L, M, N, NG, P, R, S, T, W, Y)",,,,
Grade 1,Filipino,"Pagkilala sa mga hiram na titik (C, F, J, Ñ, Q, V, X, Z)",,,,
Grade 1,Filipino,Wastong tunog ng bawat titik sa Alpabetong Filipino (ponolohiya),,,,
Grade 1,Filipino,Wastong pagsulat ng malaki at maliit na titik (stroke at tamang linya sa kuwaderno),,,,
Grade 1,Filipino,"Pagsasama-sama ng tunog ng katinig at patinig upang makabuo ng pantig (KP: hal. ba, be, bi, bo, bu)",,,,
Grade 1,Filipino,"Pagbasa ng mga payak na pantig (P, KP, PK, KPK)",,,,
Grade 1,Filipino,Pagbilang ng pantig sa isang salita sa pamamagitan ng pagpalakpak,,,,
Grade 1,Filipino,Pagbubuo ng salita mula sa mga pinagsamang pantig (hal. ma + sa + ya = masaya),,,,
Grade 1,Filipino,"Pagbasa at pagsulat ng mga batayang salita (sight words sa Filipino: ang, mga, si, sina, ay, ng, sa, at, may, mayroon)",,,,
Grade 1,Filipino,Pagkilala sa mga salitang magkakatugma / tugmang salita sa tula at awitin,,,,
Grade 1,Filipino,"Pagkilala sa mga magkasalungat na salita / kasalungat (hal. malaki-maliit, mataas-mababaw)",,,,
Grade 1,Filipino,"Pagkilala sa mga magkasingkahulugan na salita / kasingkahulugan (hal. masaya-maligaya, maganda-marikit)",,,,
Grade 1,Filipino,Pagkilala at paggamit ng mga magagalang na pananalita sa pagbati (Magandang umaga/hapon/gabi po),,,,
Grade 1,Filipino,"Paggamit ng magagalang na pananalita sa paghingi ng paumanhin, pahintulot, at tulong (Salamat po, Walang anuman, Pasensya na po, Pakiusap)",,,,
Grade 1,Filipino,"Wastong pagpapakilala sa sarili (pangalan, edad, kaarawan, tirahan, magulang)",,,,
Grade 1,Filipino,"Pagtukoy at paggamit ng Pangngalan (tao, hayop, bagay, pook o lugar, pangyayari)",,,,
Grade 1,Filipino,"Pagkakaiba ng Pangngalang Pantangi (tiyak na ngalan, nagsisimula sa malaking titik) at Pangngalang Pambalana (karaniwang ngalan, maliit na titik)",,,,
Grade 1,Filipino,"Kailanan ng Pangngalan: Isahan (gumagamit ng ang/si), Dalawahan, at Maramihan (gumagamit ng mga/sina)",,,,
Grade 1,Filipino,"Kasarian ng Pangngalan: Panlalaki, Pambabae, Di-tiyak, at Walang Kasarian",,,,
Grade 1,Filipino,"Panghalip Panao: Ako, Ikaw, Siya (isahan)",,,,
Grade 1,Filipino,"Panghalip Panao: Kami, Tayo, Kayo, Sila (maramihan)",,,,
Grade 1,Filipino,"Panghalip Pamatlig: Ito, Iyan, Iyon (panturo sa kinalalagyan ng bagay)",,,,
Grade 1,Filipino,"Pang-uri / Salitang Naglalarawan: paglalarawan ng katangian, kulay, hugis, laki, bilang, at dami",,,,
Grade 1,Filipino,"Paggamit ng pandama sa paglalarawan ng bagay sa paligid (lasa, amoy, tunog, hipo)",,,,
Grade 1,Filipino,"Pandiwa / Salitang Kilos: pagtukoy sa mga payak na kilos o gawa sa araw-araw (takbo, laro, kain, tulog, aral)",,,,
Grade 1,Filipino,Pandiwa sa Aspektong Naganap / Pangnagdaan (kilos na tapos na),,,,
Grade 1,Filipino,Pandiwa sa Aspektong Nagaganap / Pangkasalukuyan (kilos na ginagawa pa),,,,
Grade 1,Filipino,Pandiwa sa Aspektong Magaganap / Panghinaharap (kilos na gagawin pa lamang),,,,
Grade 1,Filipino,"Pang-ukol: paggamit ng 'sa', 'para sa', 'para kay', 'ayon sa', 'ayon kay'",,,,
Grade 1,Filipino,Pagkilala sa pagkakaiba ng Parirala (lipon ng salita na walang buong diwa) at Pangungusap (may buong diwa),,,,
Grade 1,Filipino,Bahagi ng Pangungusap: Simuno (pinag-uusapan) at Panaguri (nagsasabi tungkol sa simuno),,,,
Grade 1,Filipino,Ayos ng Pangungusap: Karaniwan (panaguri muna bago simuno) at Di-karaniwan (may salitang 'ay'),,,,
Grade 1,Filipino,"Uri ng Pangungusap ayon sa gamit: Pasalaysay o Paturol (nagsasalaysay, nagtatapos sa tuldok)",,,,
Grade 1,Filipino,"Uri ng Pangungusap ayon sa gamit: Patanong (nagtatanong, nagtatapos sa tandang pananong)",,,,
Grade 1,Filipino,Uri ng Pangungusap ayon sa gamit: Pautos o Pakiusap (nag-uutos o nakikiusap),,,,
Grade 1,Filipino,"Uri ng Pangungusap ayon sa gamit: Padamdam (nagpapahayag ng matinding damdamin, nagtatapos sa tandang padamdam)",,,,
Grade 1,Filipino,"Wastong gamit ng bantas: tuldok (.), tandang pananong (?), tandang padamdam (!), at kuwit (,) sa talaan",,,,
Grade 1,Filipino,Pagsunod sa 1 hanggang 3 hakbang na panutong napakinggan o nabasa,,,,
Grade 1,Filipino,"Pakikinig nang may pag-unawa sa mga kuwentong pambata, pabula, alamat, at tula",,,,
Grade 1,Filipino,"Pagtukoy sa mga tauhan, tagpuan, at mahahalagang pangyayari sa kuwentong napakinggan",,,,
Grade 1,Filipino,"Pagsusunod-sunod ng mga pangyayari sa kuwento gamit ang mga larawan o salita (una, sumunod, panghuli)",,,,
Grade 1,Filipino,"Pagtukoy sa Damdamin ng Tauhan batay sa tono, kilos, at pananalita",,,,
Grade 1,Filipino,Pagtukoy sa Sanhi at Bunga ng mga simpleng pangyayari sa kuwento o larawan,,,,
Grade 1,Filipino,Paghinuha / Paghula sa susunod na mangyayari sa kuwento o larawan,,,,
Grade 1,Filipino,Pagtukoy sa Pangunahing Paksa o Kaisipan ng maikling kuwento o talata,,,,
Grade 1,Filipino,Pagtukoy kung ang pahayag ay Katotohanan o Gawa-gawa / Kathang-isip (pantasya vs. totoo),,,,
Grade 1,Filipino,"Pagtukoy sa mga bahagi ng aklat (pabalat, pamagat, may-akda, tagaguhit, talaan ng nilalaman)",,,,
Grade 1,Filipino,Pagbuo ng mga payak na pangungusap mula sa mga pinaghalong salita,,,,
Grade 1,Filipino,"Pagsulat ng 2 hanggang 3 payak na pangungusap tungkol sa sarili, pamilya, o paboritong bagay",,,,
Grade 1,Filipino,Pagbaybay nang wasto ng mga salitang may 3 hanggang 5 titik sa Filipino,,,,
Grade 1,Filipino,Pagpapalawak ng talasalitaan gamit ang mga pahiwatig na larawan at konteksto,,,,
Grade 1,Social Studies,"Ako at ang Aking Sarili (Personal Identity: pangalan, edad, kaarawan, tirahan, kasarian)",,,,
Grade 1,Social Studies,Mga Pisikal na Katangian at Kakayahan ng Sarili,,,,
Grade 1,Social Studies,"Mga Pansariling Hilig, Interes, at Paboritong Bagay (pagkain, laro, kulay, gawain)",,,,
Grade 1,Social Studies,"Pangangalaga sa Sariling Katawan, Kalusugan, at Kaligtasan",,,,
Grade 1,Social Studies,"Mga Pangunahing Pangangailangan ng Tao (pagkain, kasuotan, tirahan, malinis na tubig, hangin)",,,,
Grade 1,Social Studies,"Pagtukoy sa mga Emosyon at Damdamin (masaya, malungkot, galit, takot, gulat)",,,,
Grade 1,Social Studies,Ang Kwento ng Aking Buhay (Personal Timeline mula pagkasilang hanggang sa kasalukuyan),,,,
Grade 1,Social Studies,"Mga Pagbabago sa Sarili mula Sanggol Hanggang sa Kasalukuyang Edad (pisikal, kakayahan, gawi)",,,,
Grade 1,Social Studies,Pangarap o Nais Maging Paglaki (ambisyon at mga pangarap sa hinaharap),,,,
Grade 1,Social Studies,Kahulugan ng Pamilya at ang Kahalagahan Nito,,,,
Grade 1,Social Studies,"Mga Kasapi ng Pamilya (ama/tatay, ina/nanay, kuya, ate, bunso)",,,,
Grade 1,Social Studies,"Pinalawak na Pamilya (lolo, lola, tito/tiyo, tita/tiya, mga pinsan)",,,,
Grade 1,Social Studies,"Iba't Ibang Anyo at Kayarian ng Pamilya (two-parent, single-parent, extended, blended, adoptive)",,,,
Grade 1,Social Studies,Tungkulin at Pananagutan ng Bawat Kasapi ng Pamilya,,,,
Grade 1,Social Studies,"Mga Tuntunin, Alituntunin, at Kasunduan sa Loob ng Tahanan",,,,
Grade 1,Social Studies,Kahalagahan ng Pagtutulungan at Pagkakaisa sa Loob ng Pamilya,,,,
Grade 1,Social Studies,Ang Kwento o Kasaysayan ng Aking Pamilya at mga Mahahalagang Tradisyon,,,,
Grade 1,Social Studies,"Mga Pagdiriwang na Pampamilya (kaarawan, anibersaryo, kapaskuhan, bagong taon, pista)",,,,
Grade 1,Social Studies,"Ang Aking Paaralan (pangalan ng paaralan, lokasyon, bisyon at misyon sa payak na paraan)",,,,
Grade 1,Social Studies,"Mga Bahagi at Pasilidad sa Paaralan (silid-aralan, kantina, palaruan, silid-aklatan, klinika, tanggapan)",,,,
Grade 1,Social Studies,"Mga Taong Bumubuo sa Paaralan (punong-guro, guro, mag-aaral, nars, guwardiya, dyanitor)",,,,
Grade 1,Social Studies,Tungkulin ng Bawat Kawani at Mag-aaral sa Paaralan,,,,
Grade 1,Social Studies,Mga Tuntunin at Patakaran sa Loob ng Paaralan at Silid-aralan,,,,
Grade 1,Social Studies,"Wastong Pag-uugali, Disiplina, at Pakikipagkaibigan sa Paaralan",,,,
Grade 1,Social Studies,Kahalagahan ng Edukasyon at Pagpasok sa Paaralan Araw-araw,,,,
Grade 1,Social Studies,Pangangalaga sa mga Gamit sa Paaralan at Pasilidad,,,,
Grade 1,Social Studies,Konsepto ng Komunidad (Kahulugan at Kahalagahan ng Kinabibilangang Pamayanan),,,,
Grade 1,Social Studies,"Mga Payak na Direksyon at Lokasyon (kanan, kaliwa, itaas, ibaba, harap, likod, hilaga, timog, silangan, kanluran)",,,,
Grade 1,Social Studies,"Pagguhit at Pagbasa ng Payak na Mapa ng Tahanan, Silid-Aralan, at Paaralan",,,,
